churn,User_Id,State,Account_Length,Area_Code,Phone,Intl_Plan,VMail_Plan,VMail_Message,Day_Mins,Day_Calls,Eve_Mins,Eve_Calls,Night_Mins,Night_Calls,Intl_Mins,Intl_Calls,CustServ_Calls,__index_level_0__,event date,Agitation_Level
0,3cc29f84-6707-49c1-8fec-038f6323c700,IL,142,415,416-8428,0,0,0,84.8,95,136.7,63,250.5,148,14.2,6,2,30,2020-01-01 00:00:00,61
0,1cbb9f7d-225e-4908-9d28-24a1f6358450,NH,75,510,370-3359,0,0,0,226.1,105,201.5,107,246.2,98,10.3,5,1,31,2020-01-01 00:00:00,165
0,f7aa4249-315a-431d-9cbe-1344a5cc745e,LA,172,408,383-1121,0,0,0,212.0,121,31.2,115,293.3,78,12.6,10,3,32,2020-01-01 00:00:00,3
1,4cb7cf03-105a-4c0a-9a22-2df0e1db41c6,AZ,12,408,360-1596,0,0,0,249.6,118,252.4,119,280.2,90,11.8,3,1,33,2020-01-01 00:00:00,17
0,5b8ff00e-150d-4c32-969c-1f061c77b094,OK,57,408,395-2854,0,1,25,176.8,94,195.0,75,213.5,116,8.3,4,0,34,2020-01-01 00:00:00,187
0,cddc27aa-09f3-4b1c-85b0-77fee0d59b4c,GA,72,415,362-1407,0,1,37,220.0,80,217.3,102,152.8,71,14.7,6,3,35,2020-01-01 00:00:00,127
0,81381a76-2432-4cca-96d0-d4b3368185e1,AK,36,408,341-9764,0,1,30,146.3,128,162.5,80,129.3,109,14.5,6,0,36,2020-01-01 00:00:00,1
0,ff9bdfba-7ba5-4913-b81c-93cc3b77f2c1,MA,78,415,353-3305,0,0,0,130.8,64,223.7,116,227.8,108,10.0,5,1,37,2020-01-01 00:00:00,54
0,8423677c-7ed6-45ea-986a-ac16bbf54c9e,AK,136,415,402-1381,1,1,33,203.9,106,187.6,99,101.7,107,10.5,6,3,38,2020-01-01 00:00:00,166
0,bec04e8b-5795-446d-830b-291903fbb552,NJ,149,408,332-9891,0,0,0,140.4,94,271.8,92,188.3,108,11.1,9,1,39,2020-01-01 00:00:00,183
0,c09d4e74-099e-413e-86a1-ced0cd1fca9d,GA,98,408,372-9976,0,0,0,126.3,102,166.8,85,187.8,135,9.4,2,3,40,2020-01-01 00:00:00,53
1,9df036df-a595-4c78-91d8-3c5669d23cc2,MD,135,408,383-6029,1,1,41,173.1,85,203.9,107,122.2,78,14.6,15,0,41,2020-01-01 00:00:00,51
0,621e9778-e04d-4d5b-85a7-0361bdb3f489,AR,34,510,353-7289,0,0,0,124.8,82,282.2,98,311.5,78,10.0,4,2,42,2020-01-01 00:00:00,128
0,d11d858f-1c7f-4b91-93aa-4bba6cbda1aa,ID,160,415,390-7274,0,0,0,85.8,77,165.3,110,178.5,92,9.2,4,3,43,2020-01-01 00:00:00,117
0,dff08e3b-2f75-46a8-936f-7e325478f92a,WI,64,510,352-1237,0,0,0,154.0,67,225.8,118,265.3,86,3.5,3,1,44,2020-01-01 00:00:00,191
0,713a251b-2595-43fe-9b6f-9178af3832cd,OR,59,408,353-3061,0,1,28,120.9,97,213.0,92,163.1,116,8.5,5,2,45,2020-01-01 00:00:00,129
0,7782d8ee-ca9c-4678-a5a5-c859dcd83644,MI,65,415,363-5450,0,0,0,211.3,120,162.6,122,134.7,118,13.2,5,3,46,2020-01-01 00:00:00,79
0,91986a87-28b6-42de-a6f6-62bc66a87e0d,DE,142,408,364-1995,0,0,0,187.0,133,134.6,74,242.2,127,7.4,5,2,47,2020-01-01 00:00:00,70
1,6735dfae-c29e-42dd-b7f4-3d1cf75398f9,ID,119,415,398-1294,0,0,0,159.1,114,231.3,117,143.2,91,8.8,3,5,48,2020-01-01 00:00:00,147
0,ae17ccbc-f9f9-4ff0-836f-3d54b366269a,WY,97,415,405-7146,0,1,24,133.2,135,217.2,58,70.6,79,11.0,3,1,49,2020-01-01 00:00:00,160
0,9e7e857c-0513-4480-959a-193144c6d7bc,IA,52,408,413-4957,0,0,0,191.9,108,269.8,96,236.8,87,7.8,5,3,50,2020-01-01 00:00:00,178
0,a4928023-6bab-42fa-a157-ba60cb57e5e7,IN,60,408,420-5645,0,0,0,220.6,57,211.1,115,249.0,129,6.8,3,1,51,2020-01-01 00:00:00,168
0,d2362265-1595-434e-ba0c-818002ad5346,VA,10,408,349-4396,0,0,0,186.1,112,190.2,66,282.8,57,11.4,6,2,52,2020-01-01 00:00:00,56
0,e3ff2da2-3300-4a32-a198-70f76cf676b5,UT,96,415,404-3211,0,0,0,160.2,117,267.5,67,228.5,68,9.3,5,2,53,2020-01-01 00:00:00,19
1,484585d9-4ead-425b-8e7b-6dcab913fa14,WY,87,415,353-3759,0,0,0,151.0,83,219.7,116,203.9,127,9.7,3,5,54,2020-01-01 00:00:00,156
0,f34d5b30-5475-4e02-9d63-2f778bdd6e88,IN,81,408,363-5947,0,0,0,175.5,67,249.3,85,270.2,98,10.2,3,1,55,2020-01-01 00:00:00,152
0,cbcc5f41-ffb4-4512-9fc1-8db09e2dd998,CO,141,415,340-5121,0,0,0,126.9,98,180.0,62,140.8,128,8.0,2,1,56,2020-01-01 00:00:00,146
1,2f97e04d-21d1-4537-8757-38d95d5bef73,CO,121,408,370-7574,0,1,30,198.4,129,75.3,77,181.2,77,5.8,3,3,57,2020-01-01 00:00:00,140
0,c24456ef-4d36-442a-8a9f-1a07e42fe34b,WI,68,415,403-9733,0,0,0,148.8,70,246.5,164,129.8,103,12.1,3,3,58,2020-01-01 00:00:00,83
0,be8117c3-e29d-47c8-a1b6-3ee9b93da50a,OK,125,408,355-7251,0,0,0,229.3,103,177.4,126,189.3,95,12.0,8,1,59,2020-01-01 00:00:00,8
0,5d9113be-6337-415e-88b9-cb81778a4bc6,ID,174,408,359-5893,0,0,0,192.1,97,169.9,94,166.6,54,11.4,4,1,60,2020-01-01 00:00:00,104
0,d6e202e2-ee7d-4f65-8e81-e2a650a13479,CA,116,415,405-3371,0,1,34,268.6,83,178.2,142,166.3,106,11.6,3,2,61,2020-01-01 00:00:00,70
0,151189e1-37d1-4ddc-8451-ce5dc0bef2cd,MN,74,510,344-5117,0,1,33,193.7,91,246.1,96,138.0,92,14.6,3,2,62,2020-01-01 00:00:00,172
0,700e62fe-f3bf-49aa-a25c-3e6720d2f9cb,SD,149,408,332-8160,0,1,28,180.7,92,187.8,64,265.5,53,12.6,3,3,63,2020-01-01 00:00:00,59
0,34d2207f-3cfc-4378-8c41-6d71bf39a1c8,NC,38,408,359-4081,0,0,0,131.2,98,162.9,97,159.0,106,8.2,6,2,64,2020-01-01 00:00:00,81
0,8b22d46a-0dd9-406b-b1c3-cab7a0b9a23e,WA,40,415,352-8305,0,1,41,148.1,74,169.5,88,214.1,102,6.2,5,2,65,2020-01-01 00:00:00,70
0,b54207cf-6308-4033-a93a-fb6343a4d16e,WY,43,415,329-9847,1,0,0,251.5,105,212.8,104,157.8,67,9.3,4,0,66,2020-01-01 00:00:00,54
0,559137ee-1c89-441d-91cf-dcdc5ce882ef,MN,113,408,365-9011,1,0,0,125.2,93,206.4,119,129.3,139,8.3,8,0,67,2020-01-01 00:00:00,143
0,012108c4-7e4d-4f4c-a83b-8de84c4602b6,UT,126,408,338-9472,0,0,0,211.6,70,216.9,80,153.5,60,7.8,1,1,68,2020-01-01 00:00:00,163
1,1f6158ec-92a0-4a8d-860a-5c3c8b9a98d8,TX,150,510,374-8042,0,0,0,178.9,101,169.1,110,148.6,100,13.8,3,4,69,2020-01-01 00:00:00,105
0,3784221c-ba76-485a-9475-f72c8563dec2,NJ,138,408,359-1231,0,0,0,241.8,93,170.5,83,295.3,104,11.8,7,3,70,2020-01-01 00:00:00,158
0,a98594d1-c6b6-4122-b11b-70b4bd3428c3,MN,162,510,413-7170,0,1,46,224.9,97,188.2,84,254.6,61,12.1,2,0,71,2020-01-01 00:00:00,155
0,1d5945db-7a33-4214-be17-81d505c4ee1f,NM,147,510,415-2935,0,0,0,248.6,83,148.9,85,172.5,109,8.0,4,3,72,2020-01-01 00:00:00,189
0,ec2d4b1b-5ade-4f60-9a64-211a388b0d01,NV,90,415,399-4246,0,0,0,203.4,146,226.7,117,152.4,105,7.3,4,1,73,2020-01-01 00:00:00,60
0,bd665b11-4c30-4e43-80a6-d335ba5c2e7a,HI,85,415,362-5889,0,0,0,235.8,109,157.2,94,188.2,99,12.0,3,0,74,2020-01-01 00:00:00,85
0,01fbb59d-5e72-4ccc-b206-672b0e65c25a,MN,50,415,350-8921,0,0,0,157.1,90,223.3,72,181.4,111,6.1,2,1,75,2020-01-01 00:00:00,163
1,377b09b3-17c1-4b58-ab97-5a29fdfcedef,DC,82,415,374-5353,0,0,0,300.3,109,181.0,100,270.1,73,11.7,4,0,76,2020-01-01 00:00:00,17
1,73049013-a0b5-4435-82d5-7001d8de8a4b,NY,144,408,360-1171,0,0,0,61.6,117,77.1,85,173.0,99,8.2,7,4,77,2020-01-01 00:00:00,12
0,51740715-387b-4ba0-a916-44cebf2743df,MN,46,415,355-8887,0,0,0,214.1,72,164.4,104,177.5,113,8.2,3,2,78,2020-01-01 00:00:00,32
0,d310a4b5-1b26-4266-b2d8-0a939ac2f976,MD,70,408,333-1967,0,0,0,170.2,98,155.2,102,228.6,76,15.0,2,1,79,2020-01-01 00:00:00,111
0,392a5c36-fd2a-4eab-a0b4-84878157644b,WV,144,415,354-4577,0,0,0,201.1,99,303.5,74,224.0,119,13.2,2,1,80,2020-01-01 00:00:00,47
0,f10a3aac-4275-4e0e-a6cb-8cca29489f0a,OR,116,415,331-7425,1,0,0,215.4,104,204.8,79,278.5,109,12.6,5,3,81,2020-01-01 00:00:00,45
0,8fa4b8c6-bf20-4ac7-a1b3-982085d96ebb,CO,55,408,419-2637,0,1,25,165.6,123,136.1,95,175.7,90,11.0,2,3,82,2020-01-01 00:00:00,187
0,a882f7cc-335c-47a5-8a2f-9df55dee6403,GA,70,415,411-1530,0,1,24,249.5,101,259.7,98,222.7,68,9.8,4,1,83,2020-01-01 00:00:00,138
1,ff689fd7-1a64-402c-aa9f-029c58f53a2b,TX,106,510,395-3026,0,0,0,210.6,96,249.2,85,191.4,88,12.4,1,2,84,2020-01-01 00:00:00,159
0,710a18bd-b55e-4e9b-8259-35ba56738575,VT,128,510,388-6441,0,1,29,179.3,104,225.9,86,323.0,78,8.6,7,0,85,2020-01-01 00:00:00,2
1,861425aa-fbbb-4c39-86cf-8db80a2530a7,IN,94,408,402-1251,0,0,0,157.9,105,155.0,101,189.6,84,8.0,5,4,86,2020-01-01 00:00:00,29
0,2ae9109d-8987-4b2f-a91c-b2d50ad5f198,WV,111,510,412-9997,0,0,0,214.3,118,208.5,76,182.4,98,12.0,2,1,87,2020-01-01 00:00:00,38
0,106c4c24-fdd1-4b8f-af88-ea096d036929,KY,74,415,346-7302,0,1,35,154.1,104,123.4,84,202.1,57,10.9,9,2,88,2020-01-01 00:00:00,160
1,de02b21a-bcd5-4da6-b8f2-01cf175a7b94,NJ,128,415,358-9095,0,0,0,237.9,125,247.6,93,208.9,68,13.9,4,1,89,2020-01-01 00:00:00,155
0,07ddb9ed-5ba4-42e6-a01e-2368e1ffa023,DC,82,510,400-9770,0,0,0,143.9,61,194.9,105,109.6,94,11.1,2,1,90,2020-01-01 00:00:00,144
1,93b570d9-1781-4577-a250-a81b589f42dd,LA,155,415,334-1275,0,0,0,203.4,100,190.9,104,196.0,119,8.9,4,0,91,2020-01-01 00:00:00,111
0,22c954f9-3436-41d4-bac8-0e6b001b0dd5,AR,80,415,340-4953,0,0,0,124.3,100,173.0,107,253.2,62,7.9,9,1,92,2020-01-01 00:00:00,117
0,7cabb70b-df96-4a03-8a48-d789f2834934,ME,78,415,400-9510,0,0,0,252.9,93,178.4,112,263.9,105,9.5,7,3,93,2020-01-01 00:00:00,54
0,ff492e73-9064-42d0-870a-8240d0d36a1a,AZ,90,415,387-6103,0,0,0,179.1,71,190.6,81,127.7,91,10.6,7,3,94,2020-01-01 00:00:00,46
0,48fa9ee8-acc7-4b01-a7fd-f40ded627071,AK,104,408,366-4467,0,0,0,278.4,106,81.0,113,163.2,137,9.8,5,1,95,2020-01-01 00:00:00,134
0,0736aec1-45e0-44a0-93e3-7630dff88312,MT,73,415,370-3450,0,0,0,160.1,110,213.3,72,174.1,72,13.0,4,0,96,2020-01-01 00:00:00,11
0,4700d252-827c-46f2-b7d2-77b56a739203,AZ,99,415,327-3954,0,0,0,198.2,87,207.3,76,190.9,113,8.7,3,4,97,2020-01-01 00:00:00,152
1,2993fb95-e951-4818-a950-104d7acd8e23,MS,120,408,355-6291,0,0,0,212.1,131,209.4,104,167.2,96,5.3,5,1,98,2020-01-01 00:00:00,3
1,7620813f-06cd-4c0e-abbb-3b3db3470c27,ID,77,415,362-9748,0,0,0,251.8,72,205.7,126,275.2,109,9.8,7,2,99,2020-01-01 00:00:00,168
0,ae1fb43c-1d9c-435d-8e04-f2878eb99223,IA,98,510,379-6506,0,1,21,161.2,114,252.2,83,160.2,92,4.4,8,4,100,2020-01-01 00:00:00,169
0,29465b86-ce35-43cc-9422-a32f4f5ebf75,MA,108,415,347-7741,0,0,0,178.3,137,189.0,76,129.1,102,14.6,5,0,101,2020-01-01 00:00:00,81
0,90c51ed0-cc34-47a5-904e-ba92ad6211be,VT,135,415,354-3783,0,0,0,151.7,82,119.0,105,180.0,100,10.5,6,0,102,2020-01-01 00:00:00,122
0,3e4742ef-82b9-4a4a-b958-8a69bc7d02e0,KY,95,408,401-7594,0,0,0,135.0,99,183.6,106,245.3,102,12.5,9,1,103,2020-01-01 00:00:00,52
0,bff5793c-404f-4407-9efe-f2f2cca5641b,IN,122,408,397-4976,0,0,0,170.5,94,173.7,109,248.6,75,11.3,2,1,104,2020-01-01 00:00:00,52
0,30c63edb-525d-4914-b711-cfb365c9ec51,AZ,95,408,334-2577,0,0,0,238.1,65,187.2,98,190.0,115,11.8,4,4,105,2020-01-01 00:00:00,160
0,0b0feae6-ebd8-43f8-ac1f-e5929f663aae,MI,36,510,400-3637,0,1,29,281.4,102,202.2,76,187.2,113,9.0,6,2,106,2020-01-01 00:00:00,134
0,a78a4e07-622f-4055-80c0-6115e47cc118,NM,93,510,383-4361,0,1,21,117.9,131,164.5,115,217.0,86,9.8,3,1,107,2020-01-01 00:00:00,155
0,1d26a36f-6cd6-402a-98cb-4e319201fa54,CO,141,415,371-4306,0,1,32,148.6,91,131.1,97,219.4,142,10.1,1,1,108,2020-01-01 00:00:00,60
0,713a1c2f-e1b3-4086-b57b-63822816189e,UT,157,408,403-4298,0,0,0,229.8,90,147.9,121,241.4,108,9.6,7,3,109,2020-01-01 00:00:00,86
0,a6b94b07-21db-4f91-8e62-a1cf4849a911,MI,120,408,409-3786,0,0,0,165.0,100,317.2,83,119.2,86,8.3,8,1,110,2020-01-01 00:00:00,13
0,d139b991-6f65-4dc7-84de-e7143e54e7d9,MA,103,415,337-4697,0,0,0,185.0,117,223.3,94,222.8,91,12.6,2,2,111,2020-01-01 00:00:00,60
0,c9c52e23-4990-4822-9315-d289c981c637,AL,98,408,383-1509,0,0,0,161.0,117,190.9,113,227.7,113,12.1,4,4,112,2020-01-01 00:00:00,82
0,60dd7c34-0fa1-4729-9025-a39d9a3e7373,DE,125,408,359-9794,0,0,0,126.7,108,206.0,90,247.8,114,13.3,7,1,113,2020-01-01 00:00:00,116
0,664a4864-0a77-4c1f-bad9-127bfc593c98,AZ,63,415,407-7035,0,0,0,58.9,125,169.6,59,211.4,88,9.4,3,1,114,2020-01-01 00:00:00,72
1,16713c6f-94d9-462a-a2b2-f87b4e008bd0,ME,36,510,363-1069,1,1,42,196.8,89,254.9,122,138.3,126,20.0,6,0,115,2020-01-01 00:00:00,158
0,d7372704-6952-40a7-892d-ee7a167ceaa3,NJ,64,510,391-4652,0,0,0,162.6,83,152.3,109,57.5,122,14.2,3,1,116,2020-01-01 00:00:00,95
1,23e48239-4a40-467b-8f5e-bf6c5db3f4a6,NV,74,415,355-6837,0,0,0,282.5,114,219.9,48,170.0,115,9.4,4,1,117,2020-01-01 00:00:00,146
0,58518cd9-a300-4efc-897b-bdf5cdf19a21,MO,112,510,409-1244,0,1,36,113.7,117,157.5,82,177.6,118,10.0,3,2,118,2020-01-01 00:00:00,72
0,3bb12a36-2100-47e6-892c-e9bf2b0465a7,ID,97,408,328-3266,0,0,0,239.8,125,214.8,111,143.3,81,8.7,5,2,119,2020-01-01 00:00:00,158
0,49c82bcd-6c15-4dce-8e9e-890e0e181397,NE,46,408,352-7072,0,0,0,210.2,92,227.3,77,200.1,116,13.1,7,1,120,2020-01-01 00:00:00,25
0,ecf1c7d2-3a81-466f-b5d1-7f79dcdeb4a0,TX,41,408,370-7550,0,1,22,213.8,102,141.8,86,142.2,123,7.2,3,0,121,2020-01-01 00:00:00,124
0,80f1d3d1-54dc-473e-9a74-f5725ef24db8,MD,121,510,369-5526,0,0,0,190.7,103,183.5,117,220.8,103,9.8,4,3,122,2020-01-01 00:00:00,112
0,458fd7b2-1478-4486-810d-175d1ae38c24,MS,193,415,329-4391,0,0,0,170.9,124,132.3,95,112.9,89,11.6,3,1,123,2020-01-01 00:00:00,25
0,2cfe8e8b-ee10-4ece-abf7-d1dd113d2c43,NV,130,510,408-4195,0,0,0,154.2,119,110.2,98,227.4,117,9.2,5,2,124,2020-01-01 00:00:00,179
0,e9ef4f73-f643-4d18-a540-52f9eb52124a,AZ,85,408,354-4445,0,0,0,201.4,52,229.4,104,252.5,106,12.0,3,1,125,2020-01-01 00:00:00,123
1,d409d52b-12a7-47aa-a7bc-f9e07b2f71d2,MS,162,415,335-4858,0,0,0,70.7,108,157.5,87,154.8,82,9.1,3,4,126,2020-01-01 00:00:00,103
1,7dca3058-f2df-4c2e-bce5-3e7c231a1c99,MS,61,510,414-8718,0,1,27,187.5,124,146.6,103,225.7,129,6.4,6,4,127,2020-01-01 00:00:00,113
0,51eaf7de-b4fb-4f62-b371-e82d8a87c8f1,TX,92,408,409-5939,0,0,0,91.7,90,193.7,123,175.0,86,9.2,4,2,128,2020-01-01 00:00:00,40
0,ec847e64-69ad-4a3a-8138-76f1d5568a29,NE,131,408,331-4902,0,1,36,214.2,115,161.7,117,264.7,102,9.5,4,3,129,2020-01-01 00:00:00,151
0,3d87e022-6c5a-44cd-8168-be52c612cc19,NE,90,415,353-6870,0,0,0,145.5,92,217.7,114,146.9,123,10.9,2,3,130,2020-01-01 00:00:00,17
0,1381224b-cdf4-49be-b4e1-6c4be8b407c6,CA,75,408,355-2909,0,0,0,166.3,125,158.2,86,256.7,80,6.1,5,1,131,2020-01-01 00:00:00,138
0,a07a9c86-ec22-4fbf-b71a-b06590951005,NJ,78,415,390-6101,0,0,0,231.0,115,230.4,140,261.4,120,9.5,3,1,132,2020-01-01 00:00:00,74
0,aa3b0223-6cf5-41ae-a696-6ac4881ab38d,TX,82,408,400-3446,0,0,0,200.3,96,201.2,102,206.1,60,7.1,1,4,133,2020-01-01 00:00:00,33
0,1a802d26-fa76-4691-8503-11610ab79a38,AR,163,408,411-5859,0,0,0,197.0,109,202.6,128,206.4,80,9.1,10,1,134,2020-01-01 00:00:00,149
0,a8690fd5-12f2-48d8-8791-e5fe7b0ed9cd,AL,91,510,387-2919,1,0,0,129.9,112,173.3,83,247.2,130,11.2,3,3,135,2020-01-01 00:00:00,72
0,6b36906d-0f0b-456b-83b4-bedf61548c30,NY,75,415,374-8525,0,1,21,175.8,97,217.5,106,237.5,134,5.3,4,5,136,2020-01-01 00:00:00,5
0,7dcc2b52-f0a8-44eb-a740-396cb5a8db4f,FL,91,510,379-5592,0,0,0,203.1,106,210.1,113,195.6,129,12.0,3,3,137,2020-01-01 00:00:00,188
0,c3d499d3-a03a-41d4-b6c5-2ba3f55462d4,AK,127,510,345-8237,0,1,36,183.2,117,126.8,76,263.3,71,11.2,8,1,138,2020-01-01 00:00:00,38
0,96f0f438-eaf4-4a67-9d8b-cc9237564a34,NV,113,415,422-6690,0,1,23,205.0,101,152.0,60,158.6,59,10.2,5,2,139,2020-01-01 00:00:00,32
0,59bd9a16-209a-4be6-85fc-cab4e19029f7,DE,110,510,346-2359,0,0,0,148.5,115,276.4,84,193.6,112,12.4,3,1,140,2020-01-01 00:00:00,132
0,5a2b2c79-df29-4876-8c71-9b10c203e263,MD,120,415,374-3534,0,1,39,200.3,68,220.4,97,253.8,116,10.5,4,0,141,2020-01-01 00:00:00,44
0,d78d7863-7542-44bf-8efb-baf447b0e700,MI,157,415,381-4756,0,1,28,192.6,107,195.5,74,109.7,139,6.8,5,3,142,2020-01-01 00:00:00,82
0,c0a4417c-bf87-466e-8081-3598427300a7,VT,103,510,390-2805,0,0,0,246.5,47,195.5,84,200.5,96,11.7,4,1,143,2020-01-01 00:00:00,40
1,448a62a0-2ba0-4995-8372-84a1210983f8,VT,117,408,390-2390,1,0,0,167.1,86,177.5,87,249.4,132,14.1,7,2,144,2020-01-01 00:00:00,60
0,a39d16b7-d574-4ed8-90fe-d70257487457,MI,140,415,419-9097,0,0,0,231.9,101,160.1,94,110.4,98,14.3,6,3,145,2020-01-01 00:00:00,176
0,afab7001-7c96-435c-b792-09dcd8a778a0,WA,127,408,386-7281,0,0,0,146.7,91,203.5,78,203.4,110,13.7,3,1,146,2020-01-01 00:00:00,75
0,2468075f-d050-404b-977a-b5ed1231952f,UT,83,408,380-3561,1,0,0,271.5,87,216.3,126,121.1,105,11.7,4,1,147,2020-01-01 00:00:00,17
0,26665cf8-2156-4a8d-aea5-d160c8625e97,LA,121,408,390-8760,0,0,0,181.5,121,218.4,98,161.6,103,8.5,5,1,148,2020-01-01 00:00:00,148
0,9817c58f-8b03-46e4-9077-72bfd6d8ccfc,RI,145,408,366-6730,0,1,43,257.7,97,162.1,95,286.9,86,11.1,4,2,149,2020-01-01 00:00:00,102
0,59004d91-8b55-470d-80c5-b4b6fe2ba5a5,IA,113,408,395-5285,0,0,0,193.8,99,221.4,125,172.3,67,10.6,6,1,150,2020-01-01 00:00:00,78
